0.000000000000000e+000,	3.034342e-005,
9.362285449502195e-006,	3.031769e-005,
1.872457089900439e-005,	3.036793e-005,
2.808685634850659e-005,	3.049414e-005,
3.744914179800878e-005,	3.069632e-005,
4.681142724751097e-005,	3.097447e-005,
5.617371269701317e-005,	3.132859e-005,
6.553599814651534e-005,	3.175869e-005,
1.153799723430579e-004,	3.638772e-005,
1.697339018381439e-004,	4.705356e-005,
2.331040989520125e-004,	6.722848e-005,
2.589822896818127e-004,	7.857800e-005,
2.782852232003834e-004,	8.907880e-005,
3.010438500148929e-004,	1.032540e-004,
3.259384850838691e-004,	1.207892e-004,
3.543730698991501e-004,	1.437215e-004,
4.004649234620373e-004,	1.870097e-004,
4.738585946544705e-004,	2.671699e-004,
5.776168453598093e-004,	3.929838e-004,
6.798748971287355e-004,	5.184922e-004,
7.774839748934828e-004,	6.286324e-004,
8.285496663384313e-004,	6.775277e-004,
8.634844871208961e-004,	7.050173e-004,
8.888230682012544e-004,	7.217450e-004,
9.077511277507863e-004,	7.322363e-004,
9.307594614841221e-004,	7.427521e-004,
9.547771607375366e-004,	7.512837e-004,
9.835375773894026e-004,	7.577618e-004,
1.030148087882596e-003,	7.609185e-004,
1.085487612046923e-003,	7.549822e-004,
1.142184754103587e-003,	7.391248e-004,
1.197407839542380e-003,	7.157653e-004,
1.273153786642005e-003,	6.773007e-004,
1.363827708345301e-003,	6.306797e-004,
1.430291189296297e-003,	6.006611e-004,
1.473276754769802e-003,	5.858033e-004,
1.511499047613870e-003,	5.764911e-004,
1.531822591094714e-003,	5.732985e-004,
1.553916429535803e-003,	5.715890e-004,
1.581172409686448e-003,	5.714804e-004,
1.608727717278649e-003,	5.738580e-004,
1.653417848378514e-003,	5.829415e-004,
1.724716994366351e-003,	6.067561e-004,
1.819774163054481e-003,	6.482266e-004,
1.920973707700972e-003,	6.928542e-004,
2.023804328772459e-003,	7.273932e-004,
2.078473825197305e-003,	7.359964e-004,
2.115375536796081e-003,	7.350874e-004,
