0.000000000000000e+000,	3.034342e-005,
6.491029920737918e-005,	2.939563e-005,
1.298205984147584e-004,	3.064684e-005,
1.947308976221375e-004,	3.409705e-005,
2.596411968295167e-004,	3.974626e-005,
3.245514960368959e-004,	4.759447e-005,
3.894617952442751e-004,	5.764168e-005,
4.543720944516542e-004,	6.988789e-005,
5.910974866054123e-004,	1.142811e-004,
7.591322053008228e-004,	1.992871e-004,
9.175328892772983e-004,	3.182693e-004,
1.118471123593844e-003,	5.360077e-004,
1.386066104654319e-003,	9.413976e-004,
1.726306111605716e-003,	1.629711e-003,
2.098024677543600e-003,	2.545986e-003,
2.254479722854879e-003,	2.980929e-003,
2.414834710391836e-003,	3.454075e-003,
2.596340681855886e-003,	3.992616e-003,
2.827979329111837e-003,	4.641430e-003,
3.203281289675826e-003,	5.484615e-003,
3.691562539675826e-003,	6.017045e-003,
4.179843789675826e-003,	5.618650e-003,
4.668125039675826e-003,	3.983347e-003,
5.156406289675826e-003,	9.917237e-004,
5.644687539675826e-003,	-3.258663e-003,
6.132968789675826e-003,	-8.427287e-003,
6.621250039675826e-003,	-1.398691e-002,
6.984534715154865e-003,	-1.805422e-002,
7.152032403398194e-003,	-1.978596e-002,
7.323463693906228e-003,	-2.134821e-002,
7.553911494803131e-003,	-2.311746e-002,
7.767325183241228e-003,	-2.428394e-002,
8.113577158364187e-003,	-2.494770e-002,
8.601858408364187e-003,	-2.348073e-002,
9.090139658364187e-003,	-1.895810e-002,
9.578420908364187e-003,	-1.114955e-002,
1.006670215836419e-002,	-4.499608e-004,
1.055498340836419e-002,	1.230440e-002,
1.102714940226525e-002,	2.545151e-002,
1.151543065226525e-002,	3.850857e-002,
1.193507475770164e-002,	4.847521e-002,
1.211166704523278e-002,	5.197171e-002,
1.227755057125615e-002,	5.462026e-002,
1.243726621008701e-002,	5.664490e-002,
1.258791368502862e-002,	5.794671e-002,
1.283098273757244e-002,	5.862559e-002,
1.322441702772230e-002,	5.640092e-002,
1.371269827772230e-002,	4.828208e-002,
1.420097952772230e-002,	3.419701e-002,
1.468926077772230e-002,	1.464170e-002,
1.517754202772230e-002,	-8.867866e-003,
1.566582327772230e-002,	-3.423924e-002,
1.611785053912407e-002,	-5.712764e-002,
1.660613178912407e-002,	-7.902762e-002,
1.696230895751884e-002,	-9.216677e-002,
1.712868901328608e-002,	-9.687856e-002,
1.730081840253235e-002,	-1.003547e-001,
1.752873294943926e-002,	-1.031938e-001,
1.774309433061582e-002,	-1.036666e-001,
1.809086085539163e-002,	-9.949084e-002,
1.857914210539163e-002,	-8.526269e-002,
1.906742335539163e-002,	-6.179585e-002,
1.955570460539163e-002,	-2.990035e-002,
2.004398585539163e-002,	7.826492e-003,
2.053226710539163e-002,	4.800601e-002,
2.099380277492120e-002,	8.461998e-002,
2.148208402492120e-002,	1.182811e-001,
2.190575199598673e-002,	1.416819e-001,
2.208301107248735e-002,	1.489125e-001,
2.224849729766714e-002,	1.536051e-001,
2.240557610889313e-002,	1.565188e-001,
2.255936523509570e-002,	1.576260e-001,
2.280127165764957e-002,	1.556273e-001,
2.319286490542055e-002,	1.441798e-001,
2.368114615542055e-002,	1.175120e-001,
2.416942740542055e-002,	7.813147e-002,
2.465770865542055e-002,	2.834542e-002,
2.514598990542055e-002,	-2.751254e-002,
2.563101731157798e-002,	-8.398239e-002,
2.608351354073828e-002,	-1.324701e-001,
2.657179479073828e-002,	-1.760399e-001,
2.693267010254129e-002,	-2.007247e-001,
2.709978825684364e-002,	-2.087139e-001,
2.727145621705486e-002,	-2.137568e-001,
2.750104445858956e-002,	-2.166609e-001,
2.771477977362102e-002,	-2.148116e-001,
2.806154580109868e-002,	-2.024146e-001,
2.848884831549284e-002,	-1.736644e-001,
2.897712956549284e-002,	-1.244048e-001,
2.946541081549284e-002,	-6.101172e-002,
2.995369206549284e-002,	1.163859e-002,
3.044197331549284e-002,	8.701263e-002,
3.089051867952502e-002,	1.522310e-001,
3.137363738042930e-002,	2.113269e-001,
3.186191863042930e-002,	2.572962e-001,
3.204353254722336e-002,	2.691482e-001,
3.220621190353425e-002,	2.757336e-001,
3.236975808772420e-002,	2.793765e-001,
3.252928237444368e-002,	2.796669e-001,
3.276906593374346e-002,	2.735915e-001,
3.315729565535370e-002,	2.505625e-001,
3.357988711123008e-002,	2.084385e-001,
3.406816836123008e-002,	1.399220e-001,
3.455644961123008e-002,	5.579526e-002,
3.504473086123008e-002,	-3.727072e-002,
3.551739010424510e-002,	-1.278227e-001,
3.598053026877617e-002,	-2.086508e-001,
3.646698129069563e-002,	-2.780559e-001,
3.687555378239747e-002,	-3.215257e-001,
3.705032423151985e-002,	-3.339613e-001,
3.721729992178103e-002,	-3.408873e-001,
3.739980560144445e-002,	-3.441714e-001,
3.756674389462388e-002,	-3.425979e-001,
3.783826772718606e-002,	-3.302299e-001,
3.825664372544126e-002,	-2.930179e-001,
3.869358553515262e-002,	-2.326400e-001,
3.918186678515262e-002,	-1.425300e-001,
3.967014803515262e-002,	-3.633738e-002,
4.015842928515262e-002,	7.712434e-002,
4.061354693197850e-002,	1.801201e-001,
4.107105079051814e-002,	2.712852e-001,
4.155933204051814e-002,	3.485186e-001,
4.190324537176626e-002,	3.877454e-001,
4.206771064658851e-002,	3.997062e-001,
4.224104422534282e-002,	4.062020e-001,
4.246460420785569e-002,	4.074934e-001,
4.268059331828368e-002,	4.001683e-001,
4.303096021204630e-002,	3.712038e-001,
